N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,000",100,-0.16%,100,"3,641,567","5,969,783",50.06,"9,602,275",9.90,13.92
2,LG에너지솔루션,"458,000","22,500",-4.68%,500,"1,071,720","234,000",5.11,"388,457",186.63,10.68
3,SK하이닉스,"86,000",200,+0.23%,"5,000","626,082","728,002",50.39,"1,572,923",6.75,16.84
4,삼성바이오로직스,"793,000","14,000",-1.73%,"2,500","564,410","71,174",10.74,"78,798",107.66,8.21
5,삼성전자우,"55,100",200,-0.36%,100,"453,411","822,887",71.82,"649,952",8.94,N/A
6,LG화학,"619,000","19,000",-2.98%,"5,000","436,967","70,592",48.28,"191,374",21.78,18.47
7,삼성SDI,"616,000","8,000",-1.28%,"5,000","423,590","68,765",47.40,"133,532",25.26,8.45
8,현대차,"166,000",500,-0.30%,"5,000","354,689","213,668",29.07,"449,986",7.41,6.84
9,NAVER,"193,500","7,000",-3.49%,100,"317,435","164,049",48.54,"969,540",34.09,106.72
10,카카오,"61,800","2,700",-4.19%,100,"275,272","445,424",26.58,"3,176,508",17.72,17.10
11,기아,"65,000",400,+0.62%,"5,000","263,486","405,363",35.85,"1,123,720",5.70,14.69
12,POSCO홀딩스,"305,500","5,500",-1.77%,"5,000","258,365","84,571",52.03,"331,637",5.00,13.97
13,KB금융,"59,100",900,-1.50%,"5,000","241,658","408,897",73.91,"1,544,150",5.23,9.80
14,셀트리온,"163,500","4,500",-2.68%,"1,000","230,217","140,805",20.94,"324,327",40.29,16.04
15,삼성물산,"119,000","1,500",+1.28%,100,"222,396","186,887",16.84,"288,267",12.57,5.40
16,신한지주,"43,300",500,-1.14%,"5,000","220,304","508,785",63.07,"2,078,247",4.83,8.80
17,현대모비스,"215,500",500,+0.23%,"5,000","203,184","94,285",35.57,"188,096",8.51,6.87
18,LG전자,"94,700",300,+0.32%,"5,000","154,974","163,648",26.68,"492,558",10.83,6.32
19,하나금융지주,"52,200",400,-0.76%,"5,000","154,462","295,903",71.31,"1,447,037",4.22,10.86
20,포스코케미칼,"198,500","1,500",+0.76%,500,"153,764","77,463",7.84,"625,433",95.62,7.92
21,SK,"194,000",500,-0.26%,200,"143,850","74,149",22.61,"93,008",4.20,10.19
22,SK이노베이션,"155,500","2,000",-1.27%,"5,000","143,784","92,466",26.30,"247,849",6.58,1.91
23,삼성생명,"71,000",500,-0.70%,500,"142,000","200,000",14.15,"208,374",20.03,4.01
24,카카오뱅크,"28,450","1,000",-3.40%,"5,000","135,630","476,731",14.44,"2,365,152",56.67,4.91
25,LG,"81,800",400,+0.49%,"5,000","128,672","157,301",36.24,"155,391",5.96,12.36
26,한국전력,"20,000",50,-0.25%,"5,000","128,393","641,964",14.51,"888,521",-0.63,-7.99
27,KT&G,"91,500",500,-0.54%,"5,000","125,623","137,292",43.78,"321,430",10.81,10.74
28,LG생활건강,"757,000","2,000",+0.26%,"5,000","118,230","15,618",36.14,"44,709",27.80,16.65
29,삼성전기,"148,500",500,-0.34%,"5,000","110,920","74,694",29.96,"484,919",12.08,14.29
30,고려아연,"550,000","9,000",-1.61%,"5,000","109,247","19,863",23.29,"31,925",14.38,11.07
